customer_id,order_frequency,payment_type
C3000,2,card
C3001,5,card
C3002,4,card
C3003,1,wallet
C3004,1,card
C3005,4,card
C3006,3,wallet
C3007,6,wallet
C3008,3,wallet
C3009,2,card
C3010,1,wallet
C3011,7,wallet
C3012,7,card
C3013,7,wallet
C3014,1,card
C3015,5,wallet
C3016,4,card
C3017,2,wallet
C3018,3,card
C3019,7,wallet
C3020,2,wallet
C3021,6,wallet
C3022,1,card
C3023,7,wallet
C3024,7,card
C3025,5,card
C3026,2,card
C3027,6,wallet
C3028,6,wallet
C3029,3,card
C3030,4,card
C3031,8,card
C3032,8,card
C3033,8,card
C3034,2,card
C3035,3,card
C3036,7,wallet
C3037,4,wallet
C3038,7,card
C3039,6,card
C3040,6,card
C3041,3,wallet
C3042,3,card
C3043,1,card
C3044,7,card
C3045,2,card
C3046,3,wallet
C3047,1,card
C3048,4,wallet
C3049,3,card
C3050,8,card
C3051,7,card
C3052,2,card
C3053,2,card
C3054,7,wallet
C3055,3,wallet
C3056,2,wallet
C3057,1,wallet
C3058,5,card
C3059,1,card
C3060,6,card
C3061,7,wallet
C3062,5,wallet
C3063,3,card
C3064,7,wallet
C3065,2,card
C3066,5,wallet
C3067,5,wallet
C3068,4,card
C3069,3,wallet
C3070,6,wallet
C3071,2,card
C3072,7,wallet
C3073,5,card
C3074,8,wallet
C3075,3,wallet
C3076,7,wallet
C3077,2,card
C3078,1,wallet
C3079,5,card
C3080,6,wallet
C3081,4,wallet
C3082,8,card
C3083,5,card
C3084,6,card
C3085,5,card
C3086,7,wallet
C3087,1,card
C3088,1,card
C3089,6,wallet
C3090,8,card
C3091,2,wallet
C3092,4,wallet
C3093,3,wallet
C3094,8,wallet
C3095,5,wallet
C3096,7,card
C3097,6,wallet
C3098,3,card
C3099,3,card
C3100,1,wallet
C3101,7,card
C3102,4,wallet
C3103,1,wallet
C3104,2,card
C3105,3,wallet
C3106,5,wallet
C3107,8,wallet
C3108,2,card
C3109,1,wallet
C3110,4,card
C3111,1,card
C3112,2,card
C3113,6,card
C3114,2,wallet
C3115,2,wallet
C3116,6,wallet
C3117,4,card
C3118,6,wallet
C3119,8,wallet
C3120,7,wallet
C3121,4,card
C3122,8,wallet
C3123,5,wallet
C3124,3,wallet
C3125,1,card
C3126,6,wallet
C3127,2,wallet
C3128,2,wallet
C3129,7,wallet
C3130,7,wallet
C3131,7,wallet
C3132,6,card
C3133,2,card
C3134,7,card
C3135,3,wallet
C3136,3,wallet
C3137,2,card
C3138,3,wallet
C3139,5,wallet
C3140,6,wallet
C3141,4,card
C3142,1,card
C3143,8,card
C3144,3,card
C3145,3,card
C3146,2,card
C3147,4,wallet
C3148,8,card
C3149,1,wallet
C3150,1,wallet
C3151,3,wallet
C3152,2,card
C3153,1,wallet
C3154,8,wallet
C3155,4,card
C3156,3,wallet
C3157,8,wallet
C3158,5,wallet
C3159,4,card
C3160,7,card
C3161,8,card
C3162,6,card
C3163,7,card
C3164,4,card
C3165,5,card
C3166,3,wallet
C3167,3,wallet
C3168,4,wallet
C3169,7,card
C3170,8,card
C3171,2,card
C3172,4,card
C3173,4,wallet
C3174,8,wallet
C3175,6,card
C3176,6,card
C3177,3,card
C3178,4,card
C3179,2,wallet
C3180,7,card
C3181,6,wallet
C3182,6,card
C3183,5,wallet
C3184,8,wallet
C3185,5,card
C3186,5,wallet
C3187,1,wallet
C3188,7,wallet
C3189,2,card
C3190,5,wallet
C3191,2,card
C3192,2,wallet
C3193,8,card
C3194,2,card
C3195,6,wallet
C3196,4,wallet
C3197,7,wallet
C3198,5,wallet
C3199,1,card
C3200,6,wallet
C3201,4,card
C3202,2,wallet
C3203,2,card
C3204,1,card
C3205,8,wallet
C3206,8,wallet
C3207,6,card
C3208,7,wallet
C3209,6,wallet
C3210,3,wallet
C3211,2,card
C3212,6,card
C3213,3,card
C3214,2,card
C3215,7,card
C3216,5,wallet
C3217,5,wallet
C3218,2,wallet
C3219,1,wallet
C3220,3,wallet
C3221,2,card
C3222,7,wallet
C3223,2,card
C3224,1,card
C3225,5,card
C3226,8,card
C3227,8,card
C3228,5,wallet
C3229,2,wallet
C3230,7,card
C3231,8,wallet
C3232,2,card
C3233,2,wallet
C3234,5,card
C3235,7,wallet
C3236,4,wallet
C3237,8,card
C3238,5,card
C3239,8,card
C3240,3,card
C3241,8,card
C3242,4,wallet
C3243,3,wallet
C3244,8,card
C3245,8,card
C3246,2,wallet
C3247,3,wallet
C3248,4,card
C3249,1,wallet
C3250,3,wallet
C3251,2,card
C3252,5,wallet
C3253,7,wallet
C3254,1,wallet
C3255,6,wallet
C3256,6,card
C3257,3,card
C3258,7,wallet
C3259,1,card
C3260,7,card
C3261,6,card
C3262,2,wallet
C3263,4,wallet
C3264,2,wallet
C3265,3,card
C3266,7,wallet
C3267,3,card
C3268,2,wallet
C3269,1,wallet
C3270,4,card
C3271,2,card
C3272,4,wallet
C3273,6,wallet
C3274,2,wallet
C3275,1,wallet
C3276,8,wallet
C3277,2,wallet
C3278,2,wallet
C3279,2,wallet
C3280,6,card
C3281,3,wallet
C3282,4,card
C3283,2,wallet
C3284,5,wallet
C3285,2,wallet
C3286,4,card
C3287,7,card
C3288,1,wallet
C3289,5,wallet
C3290,7,wallet
C3291,2,wallet
C3292,2,wallet
C3293,4,wallet
C3294,6,wallet
C3295,4,wallet
C3296,2,card
C3297,5,wallet
C3298,5,wallet
C3299,7,wallet
C3300,6,card
C3301,8,card
C3302,6,wallet
C3303,7,card
C3304,5,card
C3305,1,wallet
C3306,5,card
C3307,2,card
C3308,1,wallet
C3309,1,card
C3310,6,card
C3311,8,card
C3312,1,wallet
C3313,2,wallet
C3314,8,card
C3315,6,wallet
C3316,5,wallet
C3317,3,wallet
C3318,8,card
C3319,1,wallet
C3320,3,wallet
C3321,1,card
C3322,5,card
C3323,8,card
C3324,5,wallet
C3325,1,wallet
C3326,4,wallet
C3327,5,card
C3328,7,wallet
C3329,1,card
C3330,1,wallet
C3331,8,card
C3332,6,card
C3333,2,wallet
C3334,8,card
C3335,8,card
C3336,5,card
C3337,3,wallet
C3338,7,wallet
C3339,8,wallet
C3340,3,wallet
C3341,1,card
C3342,4,card
C3343,8,wallet
C3344,6,wallet
C3345,5,card
C3346,3,card
C3347,4,card
C3348,4,card
C3349,4,card
C3350,2,wallet
C3351,2,wallet
C3352,5,wallet
C3353,3,wallet
C3354,5,wallet
C3355,3,card
C3356,5,card
C3357,3,card
C3358,2,card
C3359,7,wallet
C3360,2,card
C3361,1,wallet
C3362,1,wallet
C3363,1,wallet
C3364,4,wallet
C3365,7,wallet
C3366,1,card
C3367,7,wallet
C3368,8,card
C3369,3,wallet
C3370,8,card
