earner_id,earner_type,vehicle_type,fuel_type,is_ev,experience_months,rating,status,home_city_id
E10000,driver,car,hybrid,FALSE,72,4.79,offline,4
E10001,driver,car,hybrid,FALSE,76,4.77,online,2
E10002,driver,car,gas,FALSE,61,4.45,engaged,5
E10003,driver,car,hybrid,FALSE,13,4.54,offline,3
E10004,driver,car,EV,TRUE,69,4.86,engaged,1
E10005,driver,car,hybrid,FALSE,51,4.88,offline,5
E10006,driver,car,hybrid,FALSE,80,4.95,online,5
E10007,driver,car,EV,TRUE,5,4.85,online,2
E10008,driver,car,hybrid,FALSE,60,4.82,offline,4
E10009,driver,car,hybrid,FALSE,26,4.77,engaged,2
E10010,driver,car,hybrid,FALSE,64,4.97,online,1
E10011,driver,car,hybrid,FALSE,36,4.6,offline,5
E10012,driver,car,gas,FALSE,11,4.72,engaged,3
E10013,driver,car,EV,TRUE,30,4.82,engaged,3
E10014,driver,car,EV,TRUE,73,4.47,online,4
E10015,driver,car,EV,TRUE,38,4.99,offline,1
E10016,driver,car,gas,FALSE,1,4.61,online,2
E10017,driver,car,gas,FALSE,7,4.74,offline,4
E10018,driver,car,gas,FALSE,51,5,offline,1
E10019,driver,car,hybrid,FALSE,26,4.6,engaged,3
E10020,driver,car,EV,TRUE,40,4.65,offline,1
E10021,driver,car,gas,FALSE,16,5,online,2
E10022,driver,car,hybrid,FALSE,2,4.56,online,4
E10023,driver,car,hybrid,FALSE,23,4.67,engaged,5
E10024,driver,car,EV,TRUE,66,4.84,online,2
E10025,driver,car,EV,TRUE,50,4.83,online,4
E10026,driver,car,EV,TRUE,28,4.86,online,3
E10027,driver,car,gas,FALSE,76,4.82,offline,1
E10028,driver,car,EV,TRUE,51,4.99,engaged,5
E10029,driver,car,EV,TRUE,19,4.93,online,4
E10030,driver,car,EV,TRUE,79,4.86,offline,3
E10031,driver,car,EV,TRUE,10,4.63,online,2
E10032,driver,car,hybrid,FALSE,32,4.62,online,5
E10033,driver,car,EV,TRUE,80,4.41,offline,2
E10034,driver,car,gas,FALSE,62,4.87,engaged,2
E10035,driver,car,gas,FALSE,24,4.42,engaged,2
E10036,driver,car,EV,TRUE,30,4.91,engaged,2
E10037,driver,car,hybrid,FALSE,21,5,engaged,5
E10038,driver,car,EV,TRUE,50,4.56,offline,5
E10039,driver,car,EV,TRUE,7,4.63,online,1
E10040,driver,car,EV,TRUE,33,4.66,online,4
E10041,driver,car,EV,TRUE,77,4.9,offline,3
E10042,driver,car,hybrid,FALSE,9,4.59,online,2
E10043,driver,car,hybrid,FALSE,84,4.73,engaged,5
E10044,driver,car,EV,TRUE,28,4.66,online,1
E10045,driver,car,EV,TRUE,53,4.7,offline,2
E10046,driver,car,EV,TRUE,23,4.98,offline,3
E10047,driver,car,hybrid,FALSE,17,4.58,online,3
E10048,driver,car,EV,TRUE,58,4.76,offline,5
E10049,driver,car,hybrid,FALSE,18,4.8,engaged,1
E10050,driver,car,gas,FALSE,61,4.9,offline,3
E10051,driver,car,gas,FALSE,3,4.52,engaged,1
E10052,driver,car,hybrid,FALSE,40,4.95,offline,2
E10053,driver,car,gas,FALSE,10,4.83,offline,5
E10054,driver,car,EV,TRUE,6,4.91,engaged,2
E10055,driver,car,hybrid,FALSE,44,4.76,offline,1
E10056,driver,car,hybrid,FALSE,10,4.45,offline,1
E10057,driver,car,gas,FALSE,74,4.63,online,5
E10058,driver,car,hybrid,FALSE,49,4.9,engaged,1
E10059,driver,car,hybrid,FALSE,11,4.76,online,1
E10060,driver,car,gas,FALSE,54,4.74,engaged,3
E10061,driver,car,EV,TRUE,75,5,offline,4
E10062,driver,car,hybrid,FALSE,70,5,online,5
E10063,driver,car,hybrid,FALSE,4,4.74,offline,5
E10064,driver,car,EV,TRUE,3,5,online,1
E10065,driver,car,hybrid,FALSE,79,4.39,engaged,4
E10066,driver,car,EV,TRUE,2,4.38,offline,3
E10067,driver,car,EV,TRUE,79,4.91,online,5
E10068,driver,car,EV,TRUE,44,4.7,engaged,4
E10069,driver,car,hybrid,FALSE,31,4.85,offline,4
E10070,driver,car,hybrid,FALSE,26,4.84,engaged,4
E10071,driver,car,gas,FALSE,26,4.73,online,4
E10072,driver,car,EV,TRUE,41,4.87,online,2
E10073,driver,car,EV,TRUE,45,4.78,online,1
