earner_id,city_id,date,trips_count,rides_distance_km,rides_duration_mins,rides_gross_fare,rides_net_earnings,rides_tips,orders_count,eats_distance_km,eats_duration_mins,eats_delivery_fee,eats_net_earnings,eats_tips,total_jobs,total_net_earnings,total_tips,week
E10000,4,2023-01-12,1,8.09,34,12.57,9.43,0,0,0,0,0,0,0,1,9.43,0,2023-W02
E10000,4,2023-01-13,1,12.9,40,28.76,21.57,0,0,0,0,0,0,0,1,21.57,0,2023-W02
E10000,4,2023-01-16,1,5.73,19,12.12,9.09,1.47,0,0,0,0,0,0,1,9.09,1.47,2023-W03
E10000,4,2023-01-22,1,4.88,29,8.99,6.74,0,0,0,0,0,0,0,1,6.74,0,2023-W03
E10000,4,2023-01-25,1,5.49,34,13.24,9.93,0.41,0,0,0,0,0,0,1,9.93,0.41,2023-W04
E10000,4,2023-01-29,1,6.81,35,15.57,11.68,0,0,0,0,0,0,0,1,11.68,0,2023-W04
E10000,4,2023-02-04,2,9.85,33,20.99,15.75,0,0,0,0,0,0,0,2,15.75,0,2023-W05
E10000,4,2023-02-08,1,8.13,39,15.07,11.3,0,0,0,0,0,0,0,1,11.3,0,2023-W06
E10000,4,2023-02-12,1,12.21,18,17.7,13.28,0,0,0,0,0,0,0,1,13.28,0,2023-W06
E10000,4,2023-02-23,2,16.93,40,35.85,26.89,0,0,0,0,0,0,0,2,26.89,0,2023-W08
E10000,4,2023-02-24,1,6.01,35,11.23,8.42,0.08,0,0,0,0,0,0,1,8.42,0.08,2023-W08
E10000,4,2023-03-16,1,4.62,39,8.73,6.55,0,0,0,0,0,0,0,1,6.55,0,2023-W11
E10000,4,2023-03-30,2,14.59,63,28.29,21.22,0,0,0,0,0,0,0,2,21.22,0,2023-W13
E10000,4,2023-03-31,1,5.98,31,10.92,8.19,0,0,0,0,0,0,0,1,8.19,0,2023-W13
E10000,4,2023-04-09,1,5.15,41,9.83,7.37,0,0,0,0,0,0,0,1,7.37,0,2023-W14
E10000,4,2023-04-17,1,6.86,15,19.59,14.69,0,0,0,0,0,0,0,1,14.69,0,2023-W16
E10000,4,2023-04-22,1,5.82,9,10.87,8.15,3.69,0,0,0,0,0,0,1,8.15,3.69,2023-W16
E10000,4,2023-04-23,1,7.99,16,13.04,9.78,0,0,0,0,0,0,0,1,9.78,0,2023-W16
E10000,4,2023-04-26,1,4.27,33,10.74,8.06,1.14,0,0,0,0,0,0,1,8.06,1.14,2023-W17
E10001,2,2023-01-11,1,5.25,25,10.42,7.82,0,0,0,0,0,0,0,1,7.82,0,2023-W02
E10001,2,2023-02-01,1,3.33,17,6.73,5.05,0,0,0,0,0,0,0,1,5.05,0,2023-W05
E10001,2,2023-02-04,1,5.01,28,9.63,7.22,0,0,0,0,0,0,0,1,7.22,0,2023-W05
E10001,2,2023-02-07,1,5.77,39,9.44,7.08,0,0,0,0,0,0,0,1,7.08,0,2023-W06
E10001,2,2023-02-13,1,7.81,14,14.34,10.76,0,0,0,0,0,0,0,1,10.76,0,2023-W07
E10001,2,2023-02-18,1,9.17,23,14.8,11.1,0,0,0,0,0,0,0,1,11.1,0,2023-W07
E10001,2,2023-02-27,1,8.12,8,16.4,12.3,0,0,0,0,0,0,0,1,12.3,0,2023-W09
E10001,2,2023-03-23,1,7.74,32,12.68,9.51,0,0,0,0,0,0,0,1,9.51,0,2023-W12
E10001,2,2023-04-06,1,2.79,9,5.94,4.46,0,0,0,0,0,0,0,1,4.46,0,2023-W14
E10001,2,2023-04-13,1,2.41,30,5.13,3.85,0,0,0,0,0,0,0,1,3.85,0,2023-W15
E10001,2,2023-04-18,1,5.76,34,9.55,7.16,0,0,0,0,0,0,0,1,7.16,0,2023-W16
E10001,2,2023-04-20,1,11.4,40,19.06,14.3,0,0,0,0,0,0,0,1,14.3,0,2023-W16
E10001,4,2023-01-19,1,2.35,7,5.74,4.3,0,0,0,0,0,0,0,1,4.3,0,2023-W03
E10001,5,2023-01-16,1,3.09,30,6.54,4.9,1.41,0,0,0,0,0,0,1,4.9,1.41,2023-W03
E10001,5,2023-04-03,1,8.47,11,19.54,14.66,0,0,0,0,0,0,0,1,14.66,0,2023-W14
E10002,1,2023-04-27,1,6.51,7,13.04,9.78,0,0,0,0,0,0,0,1,9.78,0,2023-W17
E10002,3,2023-01-26,1,9.27,37,15.34,11.5,0,0,0,0,0,0,0,1,11.5,0,2023-W04
E10002,5,2023-01-04,1,1.23,9,2.85,2.14,1.22,0,0,0,0,0,0,1,2.14,1.22,2023-W01
E10002,5,2023-01-08,1,2.68,42,4.92,3.69,0,0,0,0,0,0,0,1,3.69,0,2023-W01
E10002,5,2023-01-09,1,5.73,38,10.93,8.2,0,0,0,0,0,0,0,1,8.2,0,2023-W02
E10002,5,2023-01-16,2,12.26,78,23.31,17.48,0,0,0,0,0,0,0,2,17.48,0,2023-W03
E10002,5,2023-01-22,1,3.44,28,7.46,5.6,0,0,0,0,0,0,0,1,5.6,0,2023-W03
E10002,5,2023-01-23,1,5.82,20,14.27,10.7,0,0,0,0,0,0,0,1,10.7,0,2023-W04
E10002,5,2023-01-27,1,9.61,28,24.94,18.7,3.29,0,0,0,0,0,0,1,18.7,3.29,2023-W04
E10002,5,2023-01-28,1,8.37,8,13.91,10.43,4.32,0,0,0,0,0,0,1,10.43,4.32,2023-W04
E10002,5,2023-02-01,1,5.2,15,9.74,7.3,1.33,0,0,0,0,0,0,1,7.3,1.33,2023-W05
E10002,5,2023-02-03,1,7.17,14,11.73,8.8,0.57,0,0,0,0,0,0,1,8.8,0.57,2023-W05
E10002,5,2023-02-11,1,7.04,36,12.36,9.27,0,0,0,0,0,0,0,1,9.27,0,2023-W06
E10002,5,2023-02-13,1,1.94,30,4.55,3.41,0,0,0,0,0,0,0,1,3.41,0,2023-W07
E10002,5,2023-02-15,1,4.83,36,9.27,6.95,0,0,0,0,0,0,0,1,6.95,0,2023-W07
E10002,5,2023-02-21,1,1.2,26,3.31,2.48,0.35,0,0,0,0,0,0,1,2.48,0.35,2023-W08
E10002,5,2023-03-18,1,5.56,34,10.41,7.81,1.93,0,0,0,0,0,0,1,7.81,1.93,2023-W11
E10002,5,2023-03-20,1,3.65,36,6.85,5.14,0,0,0,0,0,0,0,1,5.14,0,2023-W12
E10002,5,2023-03-23,1,6.94,32,11.68,8.76,0,0,0,0,0,0,0,1,8.76,0,2023-W12
E10002,5,2023-03-24,1,3.91,41,6.8,5.1,0,0,0,0,0,0,0,1,5.1,0,2023-W12
E10002,5,2023-04-05,1,5.8,12,11.99,8.99,0,0,0,0,0,0,0,1,8.99,0,2023-W14
E10002,5,2023-04-16,1,5.81,19,9.83,7.37,0,0,0,0,0,0,0,1,7.37,0,2023-W15
E10003,3,2023-01-06,1,8.71,24,15.14,11.36,0,0,0,0,0,0,0,1,11.36,0,2023-W01
E10003,3,2023-01-07,1,4.12,12,7.95,5.96,4.03,0,0,0,0,0,0,1,5.96,4.03,2023-W01
E10003,3,2023-01-12,1,5.03,21,18.13,13.6,0,0,0,0,0,0,0,1,13.6,0,2023-W02
E10003,3,2023-01-21,1,7.7,24,15.35,11.51,0,0,0,0,0,0,0,1,11.51,0,2023-W03
E10003,3,2023-01-31,1,7.76,7,14.98,11.24,0,0,0,0,0,0,0,1,11.24,0,2023-W05
E10003,3,2023-02-01,1,6.65,28,11.4,8.55,0,0,0,0,0,0,0,1,8.55,0,2023-W05
E10003,3,2023-02-06,1,5.22,40,8.36,6.27,0,0,0,0,0,0,0,1,6.27,0,2023-W06
E10003,3,2023-02-09,1,8.61,17,15.82,11.86,0,0,0,0,0,0,0,1,11.86,0,2023-W06
E10003,3,2023-03-17,1,7.47,19,12.88,9.66,0.78,0,0,0,0,0,0,1,9.66,0.78,2023-W11
E10003,3,2023-03-19,1,9.32,9,15.82,11.86,0.91,0,0,0,0,0,0,1,11.86,0.91,2023-W11
E10003,3,2023-03-27,1,6.09,32,10.53,7.9,2.01,0,0,0,0,0,0,1,7.9,2.01,2023-W13
E10003,3,2023-03-31,1,2.89,19,7.23,5.42,9.09,0,0,0,0,0,0,1,5.42,9.09,2023-W13
E10003,3,2023-04-01,1,3.77,41,7.85,5.89,0,0,0,0,0,0,0,1,5.89,0,2023-W13
E10003,3,2023-04-02,1,6.15,7,10.8,8.1,0,0,0,0,0,0,0,1,8.1,0,2023-W13
E10003,3,2023-04-10,1,7.49,18,24.95,18.71,1.16,0,0,0,0,0,0,1,18.71,1.16,2023-W15
E10003,3,2023-04-11,1,8.36,24,15,11.25,0.12,0,0,0,0,0,0,1,11.25,0.12,2023-W15
E10003,4,2023-02-28,1,6.21,37,12.07,9.05,0,0,0,0,0,0,0,1,9.05,0,2023-W09
E10003,4,2023-04-07,1,3.36,15,7.37,5.53,0,0,0,0,0,0,0,1,5.53,0,2023-W14
E10003,5,2023-03-17,1,10.01,9,16.1,12.07,0,0,0,0,0,0,0,1,12.07,0,2023-W11
E10004,1,2023-01-13,1,5.01,29,9.55,7.16,0,0,0,0,0,0,0,1,7.16,0,2023-W02
E10004,1,2023-01-19,1,7.03,39,13.31,9.98,0,0,0,0,0,0,0,1,9.98,0,2023-W03
E10004,1,2023-01-21,1,9.2,11,15.64,11.73,0,0,0,0,0,0,0,1,11.73,0,2023-W03
E10004,1,2023-02-16,1,9.09,27,20.85,15.64,0,0,0,0,0,0,0,1,15.64,0,2023-W07
E10004,1,2023-03-09,2,12.57,70,23.15,17.37,0,0,0,0,0,0,0,2,17.37,0,2023-W10
E10004,1,2023-03-25,1,1.2,14,5.01,3.76,0,0,0,0,0,0,0,1,3.76,0,2023-W12
E10004,1,2023-03-30,1,8.79,38,19.82,14.86,0,0,0,0,0,0,0,1,14.86,0,2023-W13
E10004,1,2023-04-02,1,5.83,41,12.95,9.71,0,0,0,0,0,0,0,1,9.71,0,2023-W13
E10004,1,2023-04-29,1,9.02,23,14.37,10.78,0,0,0,0,0,0,0,1,10.78,0,2023-W17
E10004,1,2023-04-30,1,3.17,29,7.61,5.71,0,0,0,0,0,0,0,1,5.71,0,2023-W17
E10004,2,2023-02-26,1,8.41,37,16.37,12.28,0.01,0,0,0,0,0,0,1,12.28,0.01,2023-W08
E10004,3,2023-02-15,1,8.45,34,20.39,15.29,0,0,0,0,0,0,0,1,15.29,0,2023-W07
E10004,3,2023-04-08,1,6.68,17,23.53,17.65,0,0,0,0,0,0,0,1,17.65,0,2023-W14
E10004,3,2023-04-30,1,1.2,21,5.34,4,0,0,0,0,0,0,0,1,4,0,2023-W17
E10004,4,2023-02-07,1,2.25,23,4.49,3.37,0,0,0,0,0,0,0,1,3.37,0,2023-W06
