msg.city_id,msg.map_id,msg.currency_code,msg.earnings_heatmap_type,msg.predictions.hexagon_id_9,msg.predictions.predicted_eph,msg.predictions.predicted_std,msg.predictions.in_final_heatmap
1,map-1,EUR,supply_demand,89006b0cd89bafa,22.18,4.28,TRUE
1,map-1,EUR,supply_demand,89009ee895aef1a,18.15,1.62,TRUE
1,map-1,EUR,supply_demand,8900a1e8c1d3063,21.24,4.66,TRUE
1,map-1,EUR,supply_demand,8900b8a822cf4dd,25.47,5.03,TRUE
1,map-1,EUR,supply_demand,8900de9ec6aaa4a,24.13,4.86,TRUE
1,map-1,EUR,supply_demand,8901740d50cbf90,10.04,4.61,TRUE
1,map-1,EUR,supply_demand,890212a91086353,29.51,5,TRUE
1,map-1,EUR,supply_demand,89023c74731f3cf,27.39,4.17,TRUE
1,map-1,EUR,supply_demand,8903b8bd23a462b,10.63,5.34,TRUE
1,map-1,EUR,supply_demand,8903dec841d4be5,25.15,4.28,TRUE
1,map-1,EUR,supply_demand,8903ef918c210e0,14.57,4.29,TRUE
1,map-1,EUR,supply_demand,8904406d7ed9715,20.33,1.68,TRUE
1,map-1,EUR,supply_demand,89045488ae85f67,21.42,4.56,TRUE
1,map-1,EUR,supply_demand,89047a12a32b139,20.64,3.53,TRUE
1,map-1,EUR,supply_demand,89048bf6d3bde2f,17.59,4.58,TRUE
1,map-1,EUR,supply_demand,8904b1f4bcbfe75,21.75,1.61,TRUE
1,map-1,EUR,supply_demand,8904b97da4804de,19.75,1.31,TRUE
1,map-1,EUR,supply_demand,8905585a61ce2fb,24.42,2.97,TRUE
1,map-1,EUR,supply_demand,890565c8d416f6d,13.74,3.76,TRUE
1,map-1,EUR,supply_demand,8905893c1e22911,14.91,4.24,TRUE
1,map-1,EUR,supply_demand,89058e469e144f9,18.04,4.26,TRUE
1,map-1,EUR,supply_demand,890591329181b06,18.84,5.34,TRUE
1,map-1,EUR,supply_demand,890594c383e52d1,25.06,1.6,TRUE
1,map-1,EUR,supply_demand,89059c90bd813e4,23.59,4,TRUE
1,map-1,EUR,supply_demand,89065476b4f0055,25.35,4.72,TRUE
1,map-1,EUR,supply_demand,8906aa3a2b5e96a,20.73,5.34,TRUE
1,map-1,EUR,supply_demand,8906b634a9a3f99,25.29,4.21,TRUE
1,map-1,EUR,supply_demand,8906b7f55cb7627,27.4,2.34,TRUE
1,map-1,EUR,supply_demand,8906c73ac8a462c,35,1.34,TRUE
