job_uuid,marketplace,datestr,acceptor_uuid,requester_uuid,begin_checkpoint.actual_location_hexagon_id9,begin_checkpoint.actual_location_latitude,begin_checkpoint.actual_location_longitude,begin_checkpoint.city_id,begin_checkpoint.ata_utc,end_checkpoint.actual_location_hexagon_id9,end_checkpoint.actual_location_latitude,end_checkpoint.actual_location_longitude,end_checkpoint.city_id,end_checkpoint.ata_utc,global_product_name,product_type_name,fulfillment_job_status
58e20c15-9b2e-4458-ac00-107bcf9564cd,ridesharing,2023-01-13,E10111,R2231,89b5443252677be,52.09319,5.17695,3,2023-01-13T23:50:00,896326c3e14b5c2,52.08017,5.16125,3,2023-01-14T00:10:00,UberX,UberX,completed
e02cff2b-bb4f-4b76-a97a-a2cca9477275,ridesharing,2023-02-10,E10152,R2133,89fa132b2821409,51.41972,5.50334,4,2023-02-10T05:13:00,898e2394712bd2c,51.46578,5.5221,4,2023-02-10T05:25:00,UberX,UberX,completed
779d0691-f33d-4d00-991b-983d3171e420,ridesharing,2023-02-25,E10157,R2534,89df88c01c5d375,52.05469,5.119,3,2023-02-25T18:27:00,8947d4823562561,52.10705,5.13061,3,2023-02-25T18:53:00,UberPool,UberPool,completed
b08070cf-4a5f-432f-a04d-4fa35382aa87,ridesharing,2023-02-20,E10024,R2265,8923a24a0c47657,51.94535,4.51494,2,2023-02-20T23:58:00,89cf8728790df33,51.90919,4.45792,2,2023-02-21T00:24:00,UberGreen,UberGreen,completed
c5479c2b-d878-4986-bc0c-112284e8c495,ridesharing,2023-01-16,E10146,R2126,897df7e0ca6a6f7,52.1056,5.13254,3,2023-01-16T18:42:00,8900b3581cd6ec3,52.05785,5.06818,3,2023-01-16T19:13:00,UberX,UberX,completed
4ed97ae5-57ed-4a25-aa6e-bc61d8acc5a0,ridesharing,2023-04-08,E10131,R2351,8919eb8c2a35840,52.36298,4.90663,1,2023-04-08T07:54:00,8917722e7a09e1d,52.33967,4.84363,1,2023-04-08T08:06:00,UberX,UberX,completed
484d0dfe-8c37-4bfd-bd43-ab7a261fcde8,ridesharing,2023-04-03,E10037,R2152,89f51aaedc99a91,51.40426,5.44594,4,2023-04-03T10:01:00,891471d28d62842,51.47999,5.45092,4,2023-04-03T10:13:00,UberPool,UberPool,completed
4facbc2f-5a3b-438d-aaa1-cf3cc078c18e,ridesharing,2023-04-13,E10139,R2204,89789fcc7e414bb,51.95784,4.51581,2,2023-04-13T15:44:00,89bcf96a911d280,51.90016,4.49205,2,2023-04-13T16:09:00,UberX,UberX,completed
f83dc1c2-8235-4a8b-abf7-36c95a65c1bc,ridesharing,2023-01-17,E10020,R2341,890f5c9b5567ac0,52.38348,4.8606,1,2023-01-17T11:54:00,899f0d0666540d6,52.33935,4.84197,1,2023-01-17T12:04:00,UberGreen,UberGreen,completed
bde0433b-d549-4519-a9df-8d7cb87c2d48,ridesharing,2023-01-13,E10147,R2192,89320e6ff14c88f,51.95763,4.51981,2,2023-01-13T06:37:00,89115866d9b5d07,51.91335,4.45377,2,2023-01-13T06:52:00,UberX,UberX,completed
b78e60c3-9ff8-4fe1-8eb2-730f3fcfe08d,ridesharing,2023-01-25,E10153,R2573,89b90693526bd48,52.07719,4.28746,5,2023-01-25T23:44:00,89cada6507dfd33,52.05223,4.32063,5,2023-01-26T00:05:00,UberX,UberX,completed
2e60b19f-a4d4-49b2-a756-270edffde43d,ridesharing,2023-01-02,E10057,R2274,89f496ab23d0ee3,52.04473,4.29302,5,2023-01-02T09:53:00,8979e2c729257d8,52.05596,4.32588,5,2023-01-02T10:26:00,UberPool,UberPool,completed
c6d1c9bb-81a9-48ef-b230-81085d90deb1,ridesharing,2023-01-22,E10058,R2095,8944f1370adc963,52.34498,4.84592,1,2023-01-22T08:59:00,893892c864e6d46,52.38706,4.85387,1,2023-01-22T09:31:00,UberX,UberX,completed
2c7fbec6-2f6f-4e99-89dc-c21d795fdb52,ridesharing,2023-03-23,E10014,R2214,896000d1a335ea2,52.11078,5.13259,3,2023-03-23T08:48:00,89daaf41b19fbca,52.1072,5.13543,3,2023-03-23T09:20:00,UberGreen,UberGreen,completed
85c4103b-8f34-426f-a222-dc6f3a445318,ridesharing,2023-03-05,E10061,R2226,89838ee868889eb,51.48256,5.45089,4,2023-03-05T14:05:00,890c622fa58b9a6,51.41812,5.50513,4,2023-03-05T14:38:00,UberX,UberX,completed
b4e1358c-5c0c-4619-8d81-2b42072788fa,ridesharing,2023-03-23,E10120,R2258,8913be4059be3a7,51.40649,5.45487,4,2023-03-23T08:21:00,8982f651f8c8717,51.40833,5.44349,4,2023-03-23T08:44:00,UberGreen,UberGreen,completed
462d2b67-1231-4f43-ae3b-521a0965ccc4,ridesharing,2023-03-04,E10027,R2269,89ee7f3a87a47b9,52.3397,4.84998,1,2023-03-04T14:32:00,898d3b4aaa5704d,52.36684,4.93222,1,2023-03-04T15:03:00,UberX,UberX,completed
b7c85e4b-bc61-447a-a1ba-65a0fdd5bc6f,ridesharing,2023-01-07,E10046,R2388,89bc6045272ac13,52.06058,5.07112,3,2023-01-07T11:37:00,89a60d07800fb0a,52.10687,5.1383,3,2023-01-07T11:56:00,UberGreen,UberGreen,completed
a3046aea-bb9a-493f-b5a4-57d62d40b4e9,ridesharing,2023-02-03,E10045,R2130,89b111c44ebdfc9,51.95846,4.52482,2,2023-02-03T08:51:00,89382a76cc55653,51.88518,4.43505,2,2023-02-03T09:25:00,UberGreen,UberGreen,completed
ccfc2b44-7dd1-4b53-b9fa-f8f6d7b8168b,ridesharing,2023-02-01,E10003,R2225,89838191748d8d1,52.05715,5.12198,3,2023-02-01T20:05:00,89a60a4045e5ee4,52.0601,5.07344,3,2023-02-01T20:33:00,UberX,UberX,completed
267dd9c7-9d56-4d5b-9b44-991c3ccc123f,ridesharing,2023-03-06,E10063,R2232,890d90e02fce5eb,52.3853,4.8602,1,2023-03-06T15:42:00,8967f7f32cd31f3,52.35877,4.90065,1,2023-03-06T15:53:00,UberBlack,UberBlack,completed
e85ec763-8509-4c90-a1b6-94af2c658ae9,ridesharing,2023-02-20,E10135,R2247,896e81efdf369a4,52.09194,4.30978,5,2023-02-20T16:13:00,892d5f7e506a78a,52.08941,4.24913,5,2023-02-20T16:31:00,UberBlack,UberBlack,completed
be729937-5206-449e-9908-a81f48d898f6,ridesharing,2023-04-30,E10010,R2305,89365f1e5a29395,52.34462,4.84438,1,2023-04-30T16:54:00,89150bc669fcb1f,52.36697,4.93133,1,2023-04-30T17:20:00,UberX,UberX,completed
f861bfcb-4698-4e28-b436-cdfd96720ece,ridesharing,2023-01-01,E10080,R2357,894685a251d6e1e,51.95855,4.51971,2,2023-01-01T09:00:00,8956d0345a5cc86,51.9436,4.52049,2,2023-01-01T09:32:00,UberX,UberX,completed
2a347932-33fe-4cde-9669-9f26308b8113,ridesharing,2023-03-19,E10082,R2300,8977f4fc6f38947,52.38321,4.85809,1,2023-03-19T21:21:00,89962af1d6ef470,52.34071,4.84148,1,2023-03-19T21:58:00,UberGreen,UberGreen,completed
a6333231-295e-4e56-9bbe-fde75e66878c,ridesharing,2023-01-24,E10024,R2416,897554287049984,51.9434,4.51788,2,2023-01-24T00:26:00,89f2594df1e345f,51.94737,4.51849,2,2023-01-24T01:05:00,UberGreen,UberGreen,completed
81720f85-7661-48d9-9619-cc8b42c241d2,ridesharing,2023-02-17,E10112,R2200,89938574e3c16aa,52.03383,4.33594,5,2023-02-17T17:02:00,8977919494178fa,52.09367,4.31067,5,2023-02-17T17:43:00,UberBlack,UberBlack,completed
934f52c6-a5d4-4534-88ec-a5940cc82524,ridesharing,2023-03-23,E10033,R2375,89920166e28e6ec,51.40771,5.45669,4,2023-03-23T02:23:00,89c79a8d455921b,51.40854,5.44365,4,2023-03-23T02:54:00,UberX,UberX,completed
cfa309fe-37e9-4bca-b5bb-6280bb535088,ridesharing,2023-02-26,E10057,R2305,8966321cc5cda01,52.36623,4.92825,1,2023-02-26T17:00:00,898c4e149edef63,52.38657,4.85667,1,2023-02-26T17:20:00,UberX,UberX,completed
980bbb6b-a9a6-47d0-95ae-3536f215e77a,ridesharing,2023-03-21,E10067,R2094,89842c7c325a32c,52.09407,4.3076,5,2023-03-21T10:43:00,899a0c1179afc2c,52.09097,4.30425,5,2023-03-21T11:14:00,UberX,UberX,completed
4636b161-c9a9-4367-8e11-e54c442d5068,ridesharing,2023-04-28,E10127,R2587,89c6395c5110510,52.05773,5.07175,3,2023-04-28T02:46:00,89d9ccc1027c512,52.05315,5.12191,3,2023-04-28T03:24:00,UberX,UberX,completed
cb8f5f87-e3b4-456b-a40b-2a5686095117,ridesharing,2023-03-16,E10054,R2146,8946cdd3853d9f6,51.91347,4.45455,2,2023-03-16T04:27:00,89b231bffca3d12,51.9587,4.52059,2,2023-03-16T04:37:00,UberX,UberX,completed
