rider_id,trip_frequency,preferred_product,payment_type
R2000,12,UberPool,wallet
R2001,3,UberBlack,cash
R2002,5,UberGreen,wallet
R2003,9,UberBlack,wallet
R2004,1,UberGreen,card
R2005,12,UberX,cash
R2006,9,UberX,cash
R2007,16,UberBlack,cash
R2008,11,UberBlack,card
R2009,1,UberX,cash
R2010,11,UberBlack,wallet
R2011,10,UberBlack,wallet
R2012,6,UberGreen,cash
R2013,20,UberBlack,cash
R2014,1,UberPool,card
R2015,2,UberGreen,wallet
R2016,14,UberX,cash
R2017,3,UberGreen,cash
R2018,13,UberGreen,card
R2019,5,UberBlack,cash
R2020,16,UberBlack,cash
R2021,1,UberPool,wallet
R2022,7,UberBlack,card
R2023,9,UberPool,card
R2024,17,UberX,wallet
R2025,13,UberX,card
R2026,18,UberGreen,wallet
R2027,18,UberX,wallet
R2028,18,UberBlack,cash
R2029,12,UberX,card
R2030,11,UberPool,wallet
R2031,13,UberPool,card
R2032,6,UberPool,cash
R2033,20,UberGreen,wallet
R2034,10,UberBlack,cash
R2035,10,UberBlack,wallet
R2036,18,UberGreen,card
R2037,8,UberBlack,cash
R2038,6,UberPool,card
R2039,3,UberX,wallet
R2040,10,UberX,cash
R2041,17,UberGreen,card
R2042,6,UberGreen,cash
R2043,2,UberBlack,cash
R2044,13,UberGreen,cash
R2045,9,UberBlack,wallet
R2046,11,UberPool,cash
R2047,7,UberPool,wallet
R2048,14,UberPool,wallet
R2049,9,UberPool,card
R2050,7,UberGreen,wallet
R2051,10,UberPool,wallet
R2052,6,UberX,cash
R2053,19,UberPool,cash
R2054,9,UberGreen,cash
R2055,13,UberGreen,wallet
R2056,5,UberX,card
R2057,4,UberX,card
R2058,10,UberBlack,wallet
R2059,18,UberX,cash
R2060,11,UberX,wallet
R2061,16,UberPool,cash
R2062,3,UberBlack,cash
R2063,10,UberPool,cash
R2064,20,UberGreen,card
R2065,19,UberGreen,wallet
R2066,7,UberBlack,card
R2067,15,UberPool,card
R2068,18,UberBlack,cash
R2069,14,UberX,card
R2070,11,UberX,cash
R2071,19,UberPool,cash
R2072,13,UberBlack,cash
R2073,8,UberX,cash
R2074,7,UberBlack,wallet
R2075,9,UberX,card
R2076,3,UberX,cash
R2077,3,UberX,card
R2078,11,UberGreen,card
R2079,7,UberGreen,cash
R2080,2,UberGreen,cash
R2081,18,UberGreen,wallet
R2082,2,UberPool,wallet
R2083,20,UberBlack,cash
R2084,7,UberBlack,card
R2085,15,UberX,card
R2086,1,UberPool,wallet
R2087,4,UberX,cash
R2088,12,UberX,wallet
R2089,10,UberX,wallet
R2090,15,UberX,card
R2091,3,UberBlack,card
R2092,17,UberBlack,card
R2093,16,UberGreen,cash
R2094,18,UberX,cash
R2095,13,UberGreen,cash
R2096,20,UberX,card
R2097,19,UberPool,card
R2098,11,UberGreen,wallet
R2099,12,UberBlack,cash
R2100,15,UberBlack,cash
R2101,9,UberX,wallet
R2102,11,UberX,cash
R2103,11,UberPool,wallet
R2104,6,UberPool,card
R2105,5,UberBlack,wallet
R2106,7,UberPool,cash
R2107,4,UberPool,card
R2108,12,UberBlack,card
R2109,14,UberX,card
R2110,13,UberX,cash
R2111,4,UberBlack,wallet
R2112,7,UberX,card
R2113,11,UberX,wallet
R2114,4,UberBlack,cash
R2115,16,UberPool,cash
R2116,14,UberPool,cash
R2117,3,UberGreen,cash
R2118,6,UberBlack,wallet
R2119,1,UberPool,wallet
R2120,13,UberX,card
R2121,20,UberBlack,cash
R2122,14,UberX,card
R2123,15,UberGreen,wallet
R2124,15,UberGreen,cash
R2125,17,UberPool,cash
R2126,20,UberX,wallet
R2127,2,UberGreen,cash
R2128,10,UberX,wallet
R2129,2,UberBlack,card
R2130,18,UberGreen,cash
R2131,9,UberBlack,card
R2132,16,UberGreen,card
R2133,5,UberGreen,card
R2134,8,UberPool,wallet
R2135,5,UberX,card
R2136,17,UberBlack,cash
R2137,3,UberPool,card
R2138,11,UberBlack,wallet
R2139,12,UberGreen,card
R2140,18,UberX,cash
R2141,7,UberGreen,cash
R2142,8,UberX,card
R2143,18,UberGreen,cash
R2144,8,UberX,cash
R2145,2,UberX,card
R2146,12,UberPool,card
R2147,11,UberX,cash
R2148,8,UberBlack,card
R2149,14,UberPool,wallet
